City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Galesong,-5.3166,119.3661,77.02,80,71,3.69,ID,1636498341
Teno,-34.8667,-71.1833,74.75,43,0,10.36,CL,1636498342
Castro,-24.7911,-50.0119,62.13,94,3,9.35,BR,1636498342
Igrim,63.1906,64.4162,21.38,74,100,12.91,RU,1636498343
Busselton,-33.65,115.3333,53.04,65,0,8.25,AU,1636498343
Arraial do Cabo,-22.9661,-42.0278,70.03,83,100,14.34,BR,1636498344
George Town,5.4112,100.3354,79.95,91,20,5.01,MY,1636498345
Kédougou,12.5579,-12.1743,81.66,44,24,2.77,SN,1636498346
São Filipe,14.8961,-24.4956,76.77,69,100,6.4,CV,1636498347
Tazovsky,67.4667,78.7,-6.09,100,98,4.21,RU,1636498347
Tuatapere,-46.1333,167.6833,64.42,57,100,1.92,NZ,1636498348
Ushuaia,-54.8,-68.3,65.86,34,0,17.27,AR,1636498349
Faanui,-16.4833,-151.75,80.01,70,22,10.29,PF,1636498349
Kieta,-6.2167,155.6333,84.52,73,59,7.45,PG,1636498350
Chokurdakh,70.6333,147.9167,-12.17,92,78,7.9,RU,1636498351
Moba,33.2288,105.0179,31.87,57,16,2.51,CN,1636498351
Mataura,-46.1927,168.8643,68.18,52,100,1.48,NZ,1636498352
Vaini,-21.2,-175.2,80.76,94,75,8.05,TO,1636498353
Hofn,64.2539,-15.2082,40.51,64,91,7.4,IS,1636498354
Vicuña,-30.0319,-70.7081,73.78,49,0,5.3,CL,1636498354
Kapaa,22.0752,-159.319,83.12,80,1,3.0,US,1636498355
Portobelo,9.55,-79.65,79.21,86,91,8.97,PA,1636498356
Hilo,19.7297,-155.09,83.93,63,40,9.22,US,1636498356
Clyde River,70.4692,-68.5914,16.03,100,90,28.77,CA,1636498357
Faya,18.3851,42.4509,57.31,37,12,4.12,SA,1636498358
Waingapu,-9.6567,120.2641,82.69,76,83,2.04,ID,1636498358
Saint-Philippe,-21.3585,55.7679,72.99,86,72,10.69,RE,1636498359
Chui,-33.6971,-53.4616,58.5,79,8,6.91,UY,1636498360
Mar del Plata,-38.0023,-57.5575,58.08,84,20,1.99,AR,1636498361
Port Alfred,-33.5906,26.891,60.21,77,1,7.23,ZA,1636498362
